state,DEMOCRAT_votes_1976,DEMOCRAT_votes_1980,DEMOCRAT_votes_1984,DEMOCRAT_votes_1988,DEMOCRAT_votes_1992,DEMOCRAT_votes_1996,DEMOCRAT_votes_2000,DEMOCRAT_votes_2004,DEMOCRAT_votes_2008,DEMOCRAT_votes_2012,DEMOCRAT_votes_2016,DEMOCRAT_votes_2020,REPUBLICAN_votes_1976,REPUBLICAN_votes_1980,REPUBLICAN_votes_1984,REPUBLICAN_votes_1988,REPUBLICAN_votes_1992,REPUBLICAN_votes_1996,REPUBLICAN_votes_2000,REPUBLICAN_votes_2004,REPUBLICAN_votes_2008,REPUBLICAN_votes_2012,REPUBLICAN_votes_2016,REPUBLICAN_votes_2020
North carolina,0.5526918671248569,0.47182855353903075,0.37891963678672186,0.41706311464272827,0.42653368302161304,0.4403553213740164,0.43145671168683253,0.435831462205017,0.49703666399047425,0.48350968577067555,0.46172866168209475,0.4858621177736324,0.4421940204040036,0.49304975178262267,0.6189689895148437,0.5796829977932598,0.43442808737102057,0.4872941366328975,0.559577562873286,0.5601719733779452,0.49374798618648613,0.5039306410214295,0.49828094696180414,0.4993433248829551
North dakota,0.4577004318753616,0.262985029025359,0.33798964951403204,0.429720010361265,0.32183505174713517,0.4012784757386144,0.3305533969804618,0.3549881246543683,0.44620540014717913,0.38697310888979725,0.27226739458706006,0.31756762359080093,0.5169184818437446,0.6432570836488264,0.6483974224118121,0.5603123181312045,0.442159716745691,0.46938752528987165,0.6065858126110124,0.6286133496146507,0.5325010027761898,0.5831568255855722,0.629556278313393,0.6511404873707572
Ohio,0.4889868666639419,0.40909813537809175,0.40003199484576185,0.4414684136075665,0.4018128056321024,0.4737574744720069,0.46440428090356484,0.48706685243153625,0.5150427006052537,0.5066674765831987,0.4355807627672002,0.45239338340705026,0.48671631565938184,0.5151142624561613,0.5869868634861014,0.5500175824525985,0.383466124368847,0.4101687222705193,0.4998647383516539,0.508140243355296,0.4691057836327485,0.47688440878422567,0.5168765067578619,0.5327130010087464
Oklahoma,0.48747220190231,0.3496766135401337,0.30667146620625063,0.41281651460757823,0.3402473749585539,0.40449137450247075,0.38426904569573395,0.3442959833524394,0.343549188773065,0.3322768025698344,0.2893168028454389,0.32286174335986634,0.4996177618514426,0.6049970949145348,0.6861085184394701,0.5792879125833877,0.4264574832830945,0.48256296236139,0.603078521084823,0.6557040166475606,0.656450811226935,0.6677231974301656,0.6532286481962736,0.6537327184806295
Oregon,0.47618062757069785,0.3866981065004621,0.43739681230009614,0.5127811239799815,0.42478855058958337,0.4715197131575891,0.46959940024120733,0.5134866304221187,0.5674880625692065,0.54239326652769,0.5007185200286208,0.5645331865404888,0.4778439346096035,0.48331465676300617,0.559058218856984,0.4661136695365043,0.32527212723815724,0.3905992335384973,0.46518921737996677,0.47192916742433233,0.40400981692292204,0.42149871176513326,0.39094035184496756,0.4036724604634335
Pennsylvania,0.5039567935072532,0.4247593062020594,0.45989176666694875,0.48386740504438575,0.45146164873251193,0.492261247677619,0.5060817131276611,0.5092380914415062,0.5448552801203738,0.520768577021407,0.4785361616456285,0.5000849567544814,0.4773221531310575,0.49586134037896734,0.5334106792230928,0.5070457961872039,0.3612721051814485,0.40014355830428805,0.4643813292862545,0.484236661530542,0.4416705247991443,0.46680866033674445,0.4857788580374602,0.4884361204017247
Rhode island,0.5544200455935935,0.4768214786269103,0.4801736465532572,0.5563785459021012,0.4704796356136888,0.5971858848370392,0.6098770018967911,0.5942342622628302,0.6286400461245617,0.627009588632639,0.5440660657037472,0.5947619876593357,0.4414419461060343,0.3721280774676837,0.5166520905554107,0.43932608706397575,0.29027604689378317,0.26824805828103737,0.31911799213907194,0.3867143713369356,0.35057846474735355,0.35243661570813967,0.3889805749939674,0.38670380471575855
South carolina,0.5616951766982355,0.4820896631384125,0.3556517151267541,0.37581198548897626,0.4276254117463252,0.44006252923450373,0.40901523373764903,0.40901835939914694,0.4489656001736624,0.4408803340736147,0.4067341978966509,0.43416838497813925,0.43129371043244125,0.4945376230779796,0.6355400819180427,0.6150481385058352,0.46993356725298474,0.498476762807973,0.5686038462261056,0.5798194968164678,0.5387364397863786,0.5456113125586141,0.5493933268569543,0.5509348091719648
South dakota,0.48912125263570994,0.3169180630021696,0.365287997810405,0.4650612956922084,0.37140970813730095,0.43027119502448846,0.37564225390411327,0.38443645917854796,0.44747431114601743,0.3986614075835246,0.3173742815994899,0.3560525213613529,0.5038779026067753,0.605252316884496,0.6300339450147389,0.5284976245323348,0.4065914457523182,0.46488855125900946,0.6029677268401266,0.5991113171824891,0.5315897637279927,0.5788931187554114,0.615307503789588,0.6176938967225024
Tennessee,0.5594074830696869,0.4840771851910466,0.4157224941924412,0.4154585179526356,0.47084793088803906,0.4799871179264085,0.4728489471775341,0.4252529110879618,0.4182853806271298,0.39075814993795194,0.34716332798650096,0.37451434271023704,0.4294176297426213,0.48698887745917446,0.5783972247550078,0.5789048128342246,0.42433364033171966,0.4559039757563599,0.5114915318076796,0.5679908949136325,0.5689695428289423,0.5947871471993759,0.6072203369421462,0.6066029416628381
Texas,0.511389568072175,0.414200301389191,0.36113948292667203,0.433493692203095,0.37078458334051023,0.43831771937065145,0.37981958091571044,0.3822426046274135,0.4368312144588963,0.41383358283760857,0.4323525798101196,0.4647900991387051,0.4797042351894111,0.5528195126161586,0.636106129961051,0.559535579585843,0.40560021111410466,0.48758741645050896,0.5929859946810345,0.6108582276906154,0.5545236045232641,0.5716697746805639,0.5223468557933538,0.5205760360355265
Utah,0.3364817873758818,0.20568664839311962,0.246752194849251,0.320464352836441,0.24654501759413333,0.3329677643251721,0.26344722181136915,0.25995641508701894,0.3440574566607516,0.2474966582796037,0.2746126859226901,0.37646048583306063,0.6243473055219892,0.7277754604801441,0.7450179145438144,0.6621896483505614,0.4336463270062554,0.54371278895601,0.6683014295092857,0.7153594785330293,0.6258386971450172,0.727905331026891,0.4554081658810042,0.5812983902991959
Vermont,0.42304053245750456,0.3842118340920492,0.408124112704158,0.47579809968437664,0.46113751764750555,0.5335443356329489,0.5063470921619528,0.5893746257712714,0.6745568319560924,0.665705503023823,0.5572274212321393,0.6545578055250049,0.5458722580504834,0.4436401483363729,0.579230988953833,0.510960514203051,0.30418258825478683,0.31090079667555304,0.4069716079753184,0.38801315363950445,0.30449228724549754,0.3097263523672692,0.29759382401308093,0.3038105712622113
Virginia,0.47958215632133516,0.40308740686118993,0.3709293848278818,0.3923140487194568,0.4058607440265809,0.45147771163457395,0.4443561054475593,0.4552591760381672,0.5262946987317566,0.5115645679621864,0.49751352833417695,0.5410951717780242,0.4929332140706408,0.5303279900880585,0.622871610683698,0.5973519911626572,0.4495736635394308,0.471046187230049,0.5247372918694905,0.5373195656902156,0.46330500690255316,0.4728310289638912,0.44427647013924043,0.4399550366728214
Washington,0.46114260440466104,0.3731607202504141,0.42580817212559535,0.5004768790078343,0.43410220037463415,0.49840472048333573,0.5015821531675426,0.5282114831183694,0.5765289221364835,0.5616339829967276,0.5253868006182659,0.5797030113530306,0.49997749968821,0.4965834363525127,0.5609175907110208,0.48456429235068915,0.31965605348919046,0.3730136651408243,0.44578647947502503,0.45640281992414355,0.40476304942114893,0.4129462143210913,0.3683268018663746,0.3876697774334327
West virginia,0.5806951864533234,0.49810834807479853,0.44597834567008543,0.5219811085378939,0.4841482161898089,0.515055958042859,0.4559266436669526,0.43205141097021404,0.42589750382296754,0.3553930415638732,0.26476928017771517,0.29696521244519614,0.4193048135466766,0.45302860860901567,0.551121181066189,0.47460550947404834,0.35393029164356854,0.3675743449303097,0.5191521992705099,0.5607071786946674,0.5571034310695478,0.6229584241943327,0.6863057481161936,0.6863155192461606
Wisconsin,0.4950336357441171,0.4318031550825899,0.4502170060980545,0.5141403024628491,0.4113155574098482,0.48810952162606797,0.47832819660687437,0.49699717084411216,0.5621778651794235,0.5277616253515459,0.4645384137224266,0.4944953686142774,0.4782609730190698,0.47898774470234085,0.5419315283477921,0.47795910582549433,0.36777220963199664,0.3847741225743556,0.4761316351414431,0.49319871458425024,0.4231366248834809,0.4593834671361976,0.4721818456731012,0.48822437319608825
Wyoming,0.39809265525159426,0.27970211586018007,0.28242877100884806,0.3801337857049804,0.34099777871165277,0.3683586124752447,0.282983820405566,0.2902309102316484,0.32509493770203685,0.2763690611525283,0.2162890087639303,0.26387866557990397,0.5930358250769142,0.6264394809663126,0.7050982176876508,0.6053038498790718,0.3969652398391067,0.4981211980848037,0.6922274313841086,0.6873956885274808,0.6471377459749553,0.6819358518713527,0.6739841105460841,0.6949978994840271
